Title,Watched,
3D Kanojo,,
Accelerator,,
Akame ga kill,1,
Akashic Records,,
Angel Beats,,
Angels of Death,,
Ao Haru Ride,,
Assassination Classroom,,
Attak on Titan,,!
Aura Koga Maryuuse Last War,,!!!
Bakuten,,
Banana Fish,1,
Beyond the Boundaary (kyoukai no kanata),,
Black bullet,,
Black clover,,
Bleach,,
Boku no hero,,
Boruto,,
Bunny Girl Senpai,1,
Clannad,1,
Classroom of the Elite,,
Code Geass,3,
Concrete Revolutio,,
Daily life of highschool boys,,
Danganronpa The Animation,,
Danmachi,x,
Darker than Black,x,
Darling in the Franxx,1,
Death Note,1,
Death Parade,,
Devilman,,
Devils line,,
Doctor Stone,,
Dragonball,,
Dumbbell nan kilo moteru,1,
Elfen Lied,1,
Fairy Tale,,
Fairy Tale (Hiro Mashima),,
Food wars,,
Future Diary,,
Genesis Evangelion,,
Goblin Slayer,,
God eater,x,
Golden Time,1,!
Guilty Crown,1,
Haikyu,,
Hanasaku Iroha,,
Hensuki,,
Highschool DxD,1,!
Highschool of the dead,,
Horimiya,1,
Hundred,,
Hunter x Hunter,,
I want to eat you pancreas,,
Inuyashiki,,
Isekai maou tu shoukan,,
Jobless Reincarnation,,
Jojos Bizarre Adventure,,
Josee to Tora to sakana-tachi,,
Jujutsu Kaisen,1,
Kaze Tachinu,,
Kemono jihen,,
Kimi no Todoke,,
Kiyotaka Ayanokoji,,
Kiznaiver,,
Koe no Katachi,1,
Kono yo no hate de koi wo utau shoujo yu-no,x,
Konosuba,,
Konosubarashi,,
Kuroko no basket,,
Kuromokuro,x,
Kurono,,
Lord Archer and Vanadis,1,
Maid-sama,,
Maryuuin Kouga Saigo no Tatakai,,
Masamune Kun no revenge,x,
Masou Gakuen HxH,x,
Misfit of Demon King Academy,1,
Mob Psycho 100,1,
Moushuko Tensei,,
My Hero Academia,,
My little Monster,,
Nana,,
nanatsu no taizai,x,!
Naruto,4,!
Naruto Shippuden,26,
No game no life,1,
Nozaki kun,x,!!!
One piece,,
Orange,,
Our last crusade or rise of a new world,,
Prince of tennis,,
Prison School,,
Rascal does not dream of Bunnygirl senpai,,
Rent-A-Girlfriend,,
Rinne no lagrange,,
Sakurasao no pet na kanojo,,
Seiren,,
Seraph of the End,,
Shimoneta,,
Spiritpact,,
Sword Art online,2,
Taboo Tattoo,,
Tada Kun Never Falls in Love,,
Terror in Resonance,,
The Disastrous Life of Saiki K?,,
The Eminence in Shadow,1,
The irregular at magic highschool,1,
The ones within,,!
The Rising of the Shield Hero,,
The seven deadly sins,,
Tokyo Ghoul,2,
Tokyo Revengers,,
Tonikawa,,
Toradora,1,
Tsurezure children,,
UQ Holder,,
Vivy: Fluorite Eyes Song,,
Waiting in the Summer,,
Weathering with you,1,
Wise mans grandchild,,
World trigger,,
Yoshi senpai,,
Yosuga no sora,1,
you thought there is never a girl online,,
Your lie in April,1,
Your Name,1,
Yuri on Ice,,
" ",,
